00002b21,0000684b,00005584,00000ab4
0000034c,00002bca,00003018,00007478
00000d83,0000797b,00001796,0000323a
00004b44,00005fce,0000278e,00005c19
00006993,00006386,00007fbd,00007b2e
00000464,00004370,00003d6a,00004a34
00002cd3,000030e6,0000195e,00007250
0000036a,0000585d,00000f13,00000732
0000738b,00001c99,000063a9,00006937
00004855,000065da,000077a7,000043ec
00007807,000052f2,00007237,00005619
00006206,00005277,000023fa,0000284c
00006fc6,000022f4,00007e6c,00005bc1
00001255,00001516,00004b16,00007b1a
00001244,00004c0a,00000ea8,00005bee
00000618,00000a82,00006856,00006e8e
00001522,000076ea,00006dd1,00004bb9
0000260f,00006700,00005be6,00000fa4
0000066d,00007c81,000021b0,000073fe
00005ccc,000008f3,00006df6,000059b1
0000286f,0000790e,000061d3,0000029d
000056c3,000012d3,00007ec0,00005fd4
00006a1e,0000060c,00000d36,000029f6
00007ca0,00002f39,00004bbe,00002e0d
00002c8f,00003ff7,00002bc8,00000555
00006b39,00005e06,000045ac,000067ec
00007554,000047ed,00001c48,00003a73
00003668,000051bb,00007f10,000016ce
00005536,00005baa,00005416,00004112
000028dc,00002870,0000641b,00006331
00006f67,00006bdb,00000b25,0000744a
00005216,000061f4,000018e4,00003f9e
00005106,00007e67,000067c6,000000a3
00007bac,000054ad,00005aec,00006515
000076a6,00007ab4,00003721,000010ce
00005401,00004ff6,00005440,00005ff6
00005093,00006125,00003734,000060d6
00004848,00007dd9,00005fdf,000046bb
00000a36,00002549,0000477b,0000729b
00000417,00003fce,000069f4,00001b7a
00006bff,00006714,00006638,00003ffe
000049fa,000068b6,0000147b,00005a98
00002de3,00000e1c,000071a2,00000071
000063b5,00005f30,000067e1,000078d2
0000451f,0000133a,0000785e,000044b5
00004ceb,000061fb,000079c5,00005965
00001438,00000a4c,0000483c,000079b9
00003032,00006747,00001e80,000038e4
0000425a,000030a0,0000289e,00003069
00006bc0,00002634,000023e3,00007abd
00004760,00005ebd,00001428,00002f75
000034e8,000057cd,000027ef,000006e2
000012a0,00003864,00002f74,00004e09
0000153a,00007732,0000158a,00000e9d
00007a03,000063c6,00001fc5,000000cd
00004156,00002c18,00007db0,000079a3
00006976,00006a43,0000140d,000057e8
000058d2,00006279,000036bd,00002d8f
00006967,0000769c,00003e45,00002f77
00007db1,00001b59,000031d4,00002a9a
00007287,000052e4,00005f97,000009cc
00004729,000037ae,0000407d,000013ce
00002145,00006501,00007876,00002e7d
000069d7,00002622,00005362,000006bb
00001ce3,00007933,00007114,00003426
00004dcb,000047bc,000007a5,00005fd4
00007a16,00001d8d,000060c3,000072cb
000011ae,000047e5,000079ec,0000448b
000004a3,00002543,00000542,000020a2
000034f7,00000f31,0000789c,000034a9
000011fc,000036fc,000009b0,00003780
00003ec8,000013ee,000019b1,000071c4
0000151d,000012af,000047c6,00006c2f
00001a59,00006dc9,000031f8,000039ec
00000796,00002db9,00000441,0000687f
00000a57,000028fe,00005b50,0000633b
0000057d,000054e4,000014b2,00003777
00006c92,00001571,00001ad0,00004876
00004060,00000618,00006873,0000266c
000004fb,00004a7a,000039eb,00006dfe
000063be,00004a7e,00004d2f,00004b95
00004219,0000337a,00002ece,000074e4
000043fd,00007bcc,000018b9,00004dfa
